ID,RID,RCT,RMT,Section,Ordinal,Label,NCBI_GeneID,NCBI_Symbol,Value,Probe_Set_Name,Section_Ordinal,Site_RID,Section_RID,Probe_Set_RID
11820050,1-FX8A,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),330,E15.5_CapMes_Six2_10721,12267,C3ar1,5.08122,1419483_at,3,N-GGP2,N-C84G,N-6QNC
11820051,1-FX8C,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),331,E15.5_CapMes_Six2_10722,12267,C3ar1,4.78641,1419483_at,3,N-GGP2,N-C84G,N-6QNC
11820052,1-FX8E,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),332,E15.5_ColDuctCortic_7129,12267,C3ar1,5.79506,1419483_at,3,N-GGGA,N-C84G,N-6QNC
11820053,1-FX8G,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),333,E15.5_ColDuctCortic_7130,12267,C3ar1,6.44005,1419483_at,3,N-GGGA,N-C84G,N-6QNC
11820054,1-FX8J,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),334,E15.5_ColDuctCortic_8103,12267,C3ar1,5.22198,1419483_at,3,N-GGGA,N-C84G,N-6QNC
11820055,1-FX8M,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),335,E15.5_ProxTubule_7086,12267,C3ar1,5.38768,1419483_at,3,N-GGNM,N-C84G,N-6QNC
11820056,1-FX8P,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),336,E15.5_ProxTubule_7087,12267,C3ar1,5.06631,1419483_at,3,N-GGNM,N-C84G,N-6QNC
11820057,1-FX8R,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),337,E15.5_Endothelium_Flk1_9439,12267,C3ar1,8.96811,1419483_at,3,N-GGQ0,N-C84G,N-6QNC
11820058,1-FX8T,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),338,E15.5_Endothelium_Flk1_9440,12267,C3ar1,9.17507,1419483_at,3,N-GGQ0,N-C84G,N-6QNC
11820059,1-FX8W,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),339,E15.5_ColDuctMedul_7088,12267,C3ar1,4.53123,1419483_at,3,N-GGPC,N-C84G,N-6QNC
11820060,1-FX8Y,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),340,E15.5_ColDuctMedul_7089,12267,C3ar1,5.57788,1419483_at,3,N-GGPC,N-C84G,N-6QNC
11820061,1-FX90,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),341,E15.5_ColDuctMedul_7090,12267,C3ar1,5.19154,1419483_at,3,N-GGPC,N-C84G,N-6QNC
11820062,1-FX92,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),342,E15.5_InterstitMedull_7098,12267,C3ar1,4.76741,1419483_at,3,N-GGPR,N-C84G,N-6QNC
